elbo,kld,mse,epoch
38.943176,16.89529,22.047886,1
29.239552,13.741634,15.497918,2
23.066784,11.736137,11.330647,3
22.60948,11.236415,11.373065,4
17.741276,9.85766,7.883615,5
15.429681,8.637982,6.7916985,6
16.342247,7.8722677,8.469978,7
12.6263895,7.3172817,5.309108,8
12.6089,7.1316,5.4773006,9
11.423004,6.374843,5.0481615,10
11.619009,6.554939,5.0640697,11
12.306377,6.3380237,5.9683533,12
10.981207,5.7438927,5.237314,13
10.311219,5.594137,4.717082,14
10.642936,5.581337,5.061599,15
9.659031,5.21234,4.446691,16
9.935848,5.406481,4.5293674,17
8.856982,5.614121,3.242861,18
10.29823,5.8013463,4.496884,19
9.703102,5.0304384,4.672664,20
8.537674,5.5471544,2.990519,21
8.975076,5.0797033,3.8953722,22
8.462177,5.0362744,3.4259028,23
8.7929125,5.0362396,3.7566726,24
8.685093,5.126938,3.5581553,25
9.030673,4.999467,4.031206,26
8.889387,4.709472,4.1799154,27
9.185225,4.9617705,4.223454,28
8.54034,4.659892,3.880448,29
9.240458,5.204469,4.035988,30
8.909925,5.0837426,3.8261833,31
11.24987,4.9738307,6.27604,32
8.260942,5.209456,3.051486,33
8.020389,4.770121,3.2502675,34
8.340449,4.8366632,3.5037863,35
7.905013,5.2401,2.664913,36
9.020124,4.4845243,4.5355997,37
8.263672,4.730514,3.533158,38
8.031916,4.424009,3.6079068,39
8.328486,4.5954475,3.7330391,40
8.923741,5.2187552,3.7049863,41
8.122879,4.7510376,3.371842,42
8.093924,4.61181,3.4821138,43
7.679223,4.9201283,2.7590945,44
8.550778,4.495531,4.0552473,45
8.276407,4.6916366,3.5847712,46
7.9678483,4.668817,3.2990313,47
7.491564,4.5262804,2.9652834,48
8.1044655,4.3649344,3.7395306,49
8.656488,4.4024405,4.2540474,50
7.1126804,4.6281204,2.4845603,51
8.225565,4.5939884,3.6315768,52
7.5453033,4.36377,3.1815333,53
7.472456,3.996173,3.476283,54
7.287077,4.363409,2.9236677,55
7.5705833,4.4145,3.1560833,56
7.6623936,4.3577404,3.3046532,57
8.204956,4.852015,3.3529406,58
7.367267,4.3073654,3.0599017,59
7.377317,4.2001944,3.1771226,60
7.185422,4.405017,2.7804048,61
7.2303123,4.170315,3.0599978,62
7.326233,4.048693,3.2775397,63
6.740981,4.369831,2.37115,64
7.1664634,4.2377787,2.9286847,65
7.478363,4.2817044,3.1966584,66
7.1569843,4.2443576,2.9126265,67
7.387296,4.4417057,2.9455905,68
7.017405,4.15802,2.859385,69
7.065486,4.142465,2.9230206,70
7.006657,4.2442517,2.7624054,71
6.95706,4.207716,2.7493439,72
6.7524843,4.317682,2.4348028,73
6.845781,4.349676,2.4961047,74
7.090913,4.28196,2.8089526,75
6.6459794,4.264024,2.3819556,76
6.9513063,4.332843,2.6184638,77
6.834112,4.2063217,2.6277907,78
6.8936996,4.237825,2.655875,79
6.8052607,4.2841973,2.5210633,80
6.659,4.2813063,2.3776937,81
6.8816395,4.274383,2.6072564,82
7.59095,4.42255,3.1684,83
6.890711,4.0228987,2.8678122,84
6.7832117,4.218428,2.5647838,85
6.642021,4.194766,2.4472554,86
6.697942,4.2514853,2.4464562,87
6.5702667,4.2578926,2.312374,88
6.7500296,4.2652326,2.4847968,89
6.6174135,4.1849794,2.4324338,90
6.539562,4.1709805,2.368582,91
6.584895,4.178942,2.4059532,92
6.5798426,4.1803083,2.3995345,93
6.579686,4.175368,2.404318,94
6.5326533,4.290674,2.2419791,95
6.515635,4.174094,2.3415408,96
6.56336,4.225391,2.3379693,97
6.5502477,4.229471,2.3207765,98
6.5200577,4.2013397,2.3187182,99
6.547983,4.233096,2.314887,100
